fips,units_all,units_hcv
28117,395,61.0
28119,147,88.0
28121,592,346.0
28123,276,58.0
28125,68,42.0
28127,111,11.0
28129,80,25.0
28131,71,70.0
28133,727,349.0
28135,162,38.0
28137,146,2.0
28139,222,26.0
28141,257,16.0
28143,333,236.0
28145,286,162.0
28147,105,105.0
28149,1108,585.0
28151,1454,823.0
28153,183,32.0
28155,114,84.0
28157,112,43.0
28159,378,175.0
28161,255,
28163,877,469.0
29001,474,238.0
29003,126,54.0
29005,89,55.0
29007,502,174.0
29009,21,20.0
29011,87,16.0
29013,109,75.0
29015,74,52.0
29017,34,17.0
29019,2236,1896.0
29021,2010,1032.0
29023,1006,374.0
29025,47,47.0
29027,475,114.0
29029,74,73.0
29031,1287,1108.0
29033,167,86.0
29035,21,20.0
29037,1306,1079.0
29039,132,52.0
29041,51,10.0
29043,186,185.0
29045,177,177.0
29047,2828,1321.0
29049,152,106.0
29051,1305,544.0
29053,223,103.0
29055,322,308.0
29057,4,4.0
29059,31,31.0
29061,52,52.0
29063,189,32.0
29065,282,132.0
29067,78,28.0
29069,1022,211.0
29071,396,384.0
29073,32,32.0
29075,19,11.0
29077,2791,1471.0
29079,201,110.0
29081,172,37.0
29083,387,119.0
29085,29,6.0
29087,50,6.0
29089,104,22.0
29091,856,477.0
